k_value,accuracy
1,0.6166666666666667
2,0.7166666666666667
3,0.7
4,0.7
5,0.7166666666666667
6,0.6666666666666666
7,0.65
8,0.7166666666666667
9,0.75
10,0.7166666666666667
11,0.75
12,0.7
13,0.7
14,0.6833333333333333
15,0.7333333333333333
16,0.75
17,0.75
18,0.7333333333333333
19,0.7666666666666667
20,0.7333333333333333
21,0.7333333333333333
22,0.75
23,0.75
24,0.7333333333333333
25,0.75
26,0.7166666666666667
27,0.7333333333333333
28,0.7333333333333333
29,0.75
30,0.75
31,0.75
32,0.75
33,0.75
34,0.75
35,0.7666666666666667
36,0.7666666666666667
37,0.7666666666666667
38,0.7666666666666667
39,0.7333333333333333
40,0.75
41,0.75
42,0.7333333333333333
43,0.7333333333333333
44,0.7333333333333333
45,0.7333333333333333
46,0.7
47,0.7166666666666667
48,0.6833333333333333
49,0.7166666666666667
50,0.6833333333333333
51,0.6833333333333333
52,0.65
53,0.65
54,0.65
55,0.65
56,0.65
57,0.6333333333333333
58,0.65
59,0.6333333333333333
60,0.6333333333333333
61,0.65
62,0.65
63,0.6333333333333333
64,0.6333333333333333
65,0.6166666666666667
66,0.6166666666666667
67,0.6166666666666667
68,0.6166666666666667
69,0.6166666666666667
70,0.6166666666666667
71,0.6166666666666667
72,0.6166666666666667
73,0.6166666666666667
74,0.6166666666666667
75,0.6
76,0.6
77,0.6
78,0.6
79,0.6166666666666667
80,0.6166666666666667
81,0.6166666666666667
82,0.6
83,0.6
84,0.6
85,0.6
86,0.6
87,0.5833333333333334
88,0.6
89,0.5666666666666667
90,0.5666666666666667
91,0.5333333333333333
92,0.5333333333333333
93,0.5333333333333333
94,0.5333333333333333
95,0.5
96,0.5
97,0.5
98,0.5
99,0.5
100,0.36666666666666664
101,0.35
102,0.35
103,0.35
104,0.35
105,0.35
106,0.35
107,0.35
108,0.35
109,0.35
110,0.35
111,0.35
112,0.35
113,0.35
114,0.35
115,0.35
116,0.35
117,0.35
118,0.35
119,0.35
120,0.35
121,0.35
122,0.35
123,0.35
124,0.35
125,0.35
126,0.35
127,0.35
128,0.35
129,0.35
130,0.35
131,0.35
132,0.35
133,0.35
134,0.35
135,0.35
136,0.35
137,0.35
138,0.35
139,0.35
140,0.35
141,0.35
142,0.35
143,0.35
144,0.35
145,0.35
146,0.35
147,0.35
148,0.35
149,0.35
150,0.35
151,0.35
152,0.35
153,0.35
154,0.35
155,0.35
156,0.35
157,0.35
158,0.35
159,0.35
160,0.35
161,0.35
162,0.35
163,0.35
164,0.35
165,0.35
166,0.35
167,0.35
168,0.35
169,0.35
170,0.35
171,0.35
172,0.35
173,0.35
174,0.35
175,0.35
176,0.35
177,0.35
178,0.35
179,0.35
180,0.35
181,0.35
182,0.35
183,0.35
184,0.35
185,0.3333333333333333
186,0.3333333333333333
187,0.3333333333333333
188,0.3333333333333333
189,0.3333333333333333
190,0.3333333333333333
191,0.3333333333333333
192,0.3333333333333333
193,0.3333333333333333
194,0.3333333333333333
195,0.31666666666666665
196,0.31666666666666665
197,0.31666666666666665
198,0.31666666666666665
199,0.31666666666666665
200,0.31666666666666665
201,0.31666666666666665
202,0.31666666666666665
203,0.31666666666666665
204,0.31666666666666665
205,0.31666666666666665
206,0.31666666666666665
207,0.31666666666666665
208,0.31666666666666665
209,0.31666666666666665
210,0.31666666666666665
211,0.31666666666666665
212,0.31666666666666665
213,0.31666666666666665
214,0.31666666666666665
215,0.31666666666666665
216,0.31666666666666665
217,0.31666666666666665
218,0.31666666666666665
219,0.31666666666666665
220,0.31666666666666665
221,0.31666666666666665
222,0.3
223,0.2833333333333333
224,0.2833333333333333
225,0.2833333333333333
226,0.25
227,0.23333333333333334
228,0.23333333333333334
229,0.2
230,0.2
231,0.2
232,0.2
233,0.16666666666666666
234,0.15
235,0.15
236,0.11666666666666667
237,0.11666666666666667
238,0.11666666666666667
239,0.11666666666666667
240,0.11666666666666667
