k_value,accuracy
1,0.6
2,0.65
3,0.716666667
4,0.683333333
5,0.666666667
6,0.65
7,0.65
8,0.666666667
9,0.65
10,0.633333333
11,0.6
12,0.65
13,0.65
14,0.633333333
15,0.633333333
16,0.633333333
17,0.633333333
18,0.583333333
19,0.566666667
20,0.566666667
21,0.566666667
22,0.583333333
23,0.566666667
24,0.5
25,0.55
26,0.516666667
27,0.516666667
28,0.483333333
29,0.516666667
30,0.533333333
31,0.5
32,0.516666667
33,0.516666667
34,0.483333333
35,0.466666667
36,0.466666667
37,0.483333333
38,0.466666667
39,0.483333333
40,0.466666667
41,0.483333333
42,0.483333333
43,0.483333333
44,0.5
45,0.5
46,0.533333333
47,0.516666667
48,0.5
49,0.5
50,0.5
51,0.516666667
52,0.5
53,0.516666667
54,0.483333333
55,0.5
56,0.483333333
57,0.5
58,0.5
59,0.516666667
60,0.466666667
61,0.483333333
62,0.466666667
63,0.5
64,0.483333333
65,0.483333333
66,0.483333333
67,0.466666667
68,0.466666667
69,0.466666667
70,0.483333333
71,0.5
72,0.466666667
73,0.466666667
74,0.466666667
75,0.466666667
76,0.466666667
77,0.483333333
78,0.483333333
79,0.466666667
80,0.483333333
81,0.483333333
82,0.466666667
83,0.45
84,0.466666667
85,0.45
86,0.45
87,0.433333333
88,0.433333333
89,0.433333333
90,0.433333333
91,0.45
92,0.466666667
93,0.416666667
94,0.416666667
95,0.416666667
96,0.433333333
97,0.433333333
98,0.433333333
99,0.416666667
100,0.433333333
101,0.416666667
102,0.416666667
103,0.433333333
104,0.433333333
105,0.45
106,0.433333333
107,0.433333333
108,0.45
109,0.45
110,0.45
111,0.45
112,0.45
113,0.433333333
114,0.416666667
115,0.433333333
116,0.4
117,0.4
118,0.4
119,0.4
120,0.416666667
121,0.416666667
122,0.4
123,0.4
124,0.4
125,0.4
126,0.4
127,0.383333333
128,0.366666667
129,0.366666667
130,0.383333333
131,0.4
132,0.4
133,0.4
134,0.4
135,0.416666667
136,0.416666667
137,0.416666667
138,0.383333333
139,0.416666667
140,0.383333333
141,0.383333333
142,0.4
143,0.4
144,0.4
145,0.383333333
146,0.383333333
147,0.366666667
148,0.366666667
149,0.366666667
150,0.366666667
151,0.35
152,0.35
153,0.35
154,0.35
155,0.35
156,0.35
157,0.35
158,0.333333333
159,0.333333333
160,0.333333333
161,0.333333333
162,0.333333333
163,0.333333333
164,0.333333333
165,0.333333333
166,0.333333333
167,0.333333333
168,0.333333333
169,0.333333333
170,0.333333333
171,0.333333333
172,0.316666667
173,0.333333333
174,0.316666667
175,0.333333333
176,0.333333333
177,0.333333333
178,0.333333333
179,0.333333333
180,0.333333333
181,0.333333333
182,0.35
183,0.35
184,0.35
185,0.35
186,0.35
187,0.35
188,0.35
189,0.35
190,0.35
191,0.35
192,0.35
193,0.333333333
194,0.333333333
195,0.333333333
196,0.333333333
197,0.316666667
198,0.316666667
199,0.3
200,0.3
201,0.3
202,0.3
203,0.3
204,0.3
205,0.3
206,0.3
207,0.3
208,0.3
209,0.3
210,0.3
211,0.3
212,0.3
213,0.283333333
214,0.283333333
215,0.266666667
216,0.266666667
217,0.266666667
218,0.266666667
219,0.3
220,0.3
221,0.3
222,0.3
223,0.3
224,0.3
225,0.3
226,0.3
227,0.3
228,0.266666667
229,0.266666667
230,0.266666667
231,0.25
232,0.25
233,0.233333333
234,0.116666667
235,0.116666667
236,0.116666667
237,0.116666667
238,0.116666667
239,0.116666667
240,0.116666667
