Epochs,Loss,F1
1,0.20168049415890238,0.717948717948718
2,0.17903951001461485,0.8627450980392157
3,0.15922455968539662,0.8461538461538461
4,0.1416092119117784,0.8380952380952381
5,0.12668548926844803,0.8461538461538461
6,0.11562419761911608,0.8627450980392157
7,0.10848703882724724,0.8627450980392157
8,0.10422210650299955,0.8514851485148515
9,0.10158845726183728,0.8514851485148515
10,0.09968656769472845,0.86
11,0.09801174873272453,0.8712871287128713
12,0.09634287960510476,0.8712871287128713
13,0.09463640332471729,0.8712871287128713
14,0.09295747823547124,0.8712871287128713
15,0.09143314633802828,0.88
16,0.09021027757331967,0.8888888888888888
17,0.08941204582914887,0.8775510204081632
18,0.0890951927684111,0.8775510204081632
19,0.08921628409669397,0.8888888888888888
20,0.08962553467214081,0.88
21,0.09010369781379354,0.88
22,0.09043046869540866,0.88
23,0.09045122836604136,0.88
24,0.09011224922178952,0.88
25,0.08945440041885178,0.88
26,0.08857674717331969,0.88
27,0.08759208168897667,0.88
28,0.08659317628178063,0.88
29,0.08563730386704911,0.88
30,0.08474635699686614,0.8888888888888888
31,0.08391564648120803,0.8888888888888888
32,0.08312508326571112,0.88
33,0.08234888377382249,0.88
34,0.0815622757341993,0.88
35,0.08074521095174876,0.88
36,0.07988376331455684,0.8910891089108911
37,0.07896999460272686,0.8910891089108911
38,0.07800094070645514,0.9
39,0.07697720390430915,0.9
40,0.07590149367578658,0.9
41,0.07477733567646679,0.9
42,0.07360805575183305,0.9
43,0.07239605131167849,0.9
44,0.07114231015350242,0.9
45,0.0698461428783152,0.9090909090909091
46,0.06850514056684996,0.9090909090909091
47,0.06711540332496256,0.9090909090909091
48,0.0656720645192494,0.9090909090909091
49,0.06417006493940249,0.8979591836734694
50,0.06260505841265541,0.8979591836734694
51,0.060974300114862545,0.8979591836734694
52,0.05927738649245728,0.8979591836734694
53,0.0575167546992633,0.9090909090909091
54,0.05569788352709727,0.9090909090909091
55,0.053829162893977836,0.9090909090909091
56,0.05192142860620311,0.9090909090909091
57,0.049987204983331396,0.9183673469387755
58,0.04803975494166867,0.9183673469387755
59,0.046092084410216255,0.9183673469387755
60,0.04415606273043732,0.9183673469387755
61,0.04224179323310052,0.9183673469387755
62,0.04035730724313235,0.9183673469387755
63,0.038508581613537735,0.9292929292929293
64,0.03669981703043815,0.9387755102040817
65,0.03493387640943627,0.9387755102040817
66,0.033212773457007815,0.96
67,0.03153811597821319,0.96
68,0.029911437721625796,0.96
69,0.028334387216458604,0.96
70,0.026808774771908562,0.96
71,0.025336504463492004,0.96
72,0.023919433543682544,0.9702970297029703
73,0.022559206332468506,0.9702970297029703
74,0.021257104337580462,0.9702970297029703
75,0.02001394196653583,0.9702970297029703
76,0.018830021620567725,0.9702970297029703
77,0.01770514710324605,0.9702970297029703
78,0.016638683051592745,0.98
79,0.015629641912722224,0.98
80,0.01467677879672149,0.9900990099009901
81,0.013778677295571038,0.9900990099009901
82,0.012933814597323267,0.9900990099009901
83,0.012140600469201634,0.9900990099009901
84,0.01139739067445945,0.9900990099009901
85,0.010702480167556618,0.9900990099009901
86,0.010054084362572515,0.9900990099009901
87,0.00945031765328903,1.0
88,0.008889177341286645,1.0
89,0.008368538711228524,1.0
90,0.00788616390376921,1.0
91,0.007439724220279997,1.0
92,0.007026833131835958,1.0
93,0.006645085867683819,1.0
94,0.0062921010533248285,1.0
95,0.005965560271825707,1.0
96,0.00566324234674217,1.0
97,0.005383050298234294,1.0
98,0.005123030069365645,1.0
99,0.004881381100799974,1.0
100,0.004656459568125315,1.0
101,0.0044467755643237935,1.0
102,0.004250985727885292,1.0
103,0.004067882826628121,1.0
104,0.0038963836629239317,1.0
105,0.00373551642550047,1.0
106,0.0035844083299716783,1.0
107,0.003442274108784939,1.0
108,0.00330840566267848,1.0
109,0.0031821629878473717,1.0
110,0.0030629663516694877,1.0
111,0.002950289601802755,1.0
112,0.002843654449844591,1.0
113,0.00274262556021741,1.0
114,0.00264680628620913,1.0
115,0.002555834918427409,1.0
116,0.00246938133887615,1.0
117,0.002387144001346896,1.0
118,0.0023088471828122863,1.0
119,0.0022342384695876335,1.0
120,0.0021630864558848683,1.0
121,0.002095178641425111,1.0
122,0.0020303195197910657,1.0
123,0.0019683288511406784,1.0
124,0.0019090401127229665,1.0
125,0.0018522991191986062,1.0
126,0.0017979628027885283,1.0
127,0.0017458981412963948,1.0
128,0.001695981220447791,1.0
129,0.0016480964159719081,1.0
130,0.0016021356804999537,1.0
131,0.001557997920645553,1.0
132,0.001515588450472132,1.0
133,0.001474818508808782,1.0
134,0.0014356048294005095,1.0
135,0.0013978692545298305,1.0
136,0.0013615383843994635,1.0
137,0.0013265432561230875,1.0
138,0.001292819047562961,1.0
139,0.001260304802438658,1.0
140,0.0012289431740937573,1.0
141,0.0011986801860499727,1.0
142,0.001169465008019382,1.0
143,0.0011412497464123453,1.0
144,0.0011139892486042283,1.0
145,0.0010876409203415104,1.0
146,0.001062164555709362,1.0
147,0.0010375221790761926,1.0
148,0.0010136778983992607,1.0
149,0.0009905977692367303,1.0
150,0.0009682496687782379,1.0
151,0.000946603179185595,1.0
152,0.0009256294795314097,1.0
153,0.0009053012456369707,1.0
154,0.0008855925571395393,1.0
155,0.0008664788111610213,1.0
156,0.0008479366420000567,1.0
157,0.0008299438463251915,1.0
158,0.0008124793134033194,1.0
159,0.0007955229599528018,1.0
160,0.0007790556692619275,1.0
161,0.0007630592342589604,1.0
162,0.0007475163042594883,1.0
163,0.000732410335149382,1.0
164,0.0007177255427880351,1.0
165,0.000703446859436961,1.0
166,0.0006895598930343978,1.0
167,0.0006760508891480024,1.0
168,0.0006629066954461307,1.0
169,0.0006501147285345385,1.0
170,0.0006376629430102862,1.0
171,0.0006255398025890351,1.0
172,0.0006137342531661017,1.0
173,0.0006022356976762394,1.0
174,0.00059103397262204,1.0
175,0.0005801193261465311,1.0
176,0.0005694823975316696,1.0
177,0.0005591141980112789,1.0
178,0.0005490060927940077,1.0
179,0.0005391497841994279,1.0
180,0.0005295372958177733,1.0
181,0.0005201609576113927,1.0
182,0.000511013391883137,1.0
183,0.0005020875000438751,1.0
184,0.0004933764501178197,1.0
185,0.0004848736649303714,1.0
186,0.00047657281092867716,1.0
187,0.00046846778759004296,1.0
188,0.00046055271737785035,1.0
189,0.00045282193620839754,1.0
190,0.0004452699843957141,1.0
191,0.0004378915980442343,1.0
192,0.00043068170086201825,1.0
193,0.0004236353963693649,1.0
194,0.0004167479604797677,1.0
195,0.0004100148344319017,1.0
196,0.0004034316180528797,1.0
197,0.00039699406333445694,1.0
198,0.0003906980683050837,1.0
199,0.0003845396711818559,1.0
200,0.00037851504478749273,1.0
201,0.000372620491218391,1.0
202,0.0003668524367507231,1.0
203,0.00036120742697237916,1.0
204,0.00035568212212932305,1.0
205,0.0003502732926756431,1.0
206,0.0003449778150172769,1.0
207,0.00033979266743995964,1.0
208,0.00033471492621258445,1.0
209,0.00032974176185765773,1.0
210,0.000324870435581008,1.0
211,0.00032009829585340335,1.0
212,0.00031542277513709653,1.0
213,0.0003108413867507292,1.0
214,0.00030635172186634443,1.0
215,0.000301951446632596,1.0
216,0.00029763829941852044,1.0
217,0.0002934100881725073,1.0
218,0.00028926468789134926,1.0
219,0.0002852000381945012,1.0
220,0.0002812141409988576,1.0
221,0.0002773050582896009,1.0
222,0.00027347090998283507,1.0
223,0.0002697098718759234,1.0
224,0.00026602017368159423,1.0
225,0.0002624000971420975,1.0
226,0.00025884797421978913,1.0
227,0.0002553621853607455,1.0
228,0.0002519411578281046,1.0
229,0.0002485833641020129,1.0
230,0.00024528732034318266,1.0
231,0.0002420515849172064,1.0
232,0.00023887475697690578,1.0
233,0.00023575547510011217,1.0
234,0.00023269241598042082,1.0
235,0.00022968429316855187,1.0
236,0.00022672985586207222,1.0
237,0.00022382788774136562,1.0
238,0.0002209772058497952,1.0
239,0.0002181766595161454,1.0
240,0.0002154251293174911,1.0
241,0.00021272152608075995,1.0
242,0.0002100647899213125,1.0
243,0.00020745388931696384,1.0
244,0.0002048878202159369,1.0
245,0.00020236560517731744,1.0
246,0.00019988629254263956,1.0
247,0.0001974489556373113,1.0
248,0.00019505269200063185,1.0
249,0.00019269662264322703,1.0
250,0.0001903798913307823,1.0
251,0.00018810166389299262,1.0
252,0.0001858611275567143,1.0
253,0.00018365749030234502,1.0
254,0.00018148998024250298,1.0
255,0.00017935784502211367,1.0
256,0.0001772603512390618,1.0
257,0.00017519678388460907,1.0
258,0.00017316644580278405,1.0
