Epochs,Loss,F1
1,0.1275025447703941,0.8514851485148515
2,0.10839042385497015,0.8367346938775511
3,0.09957343972066855,0.86
4,0.09097279717687395,0.8865979381443299
5,0.08966888038394485,0.8775510204081632
6,0.0896979160732294,0.8775510204081632
7,0.08659351301335752,0.8775510204081632
8,0.08386125090145759,0.8686868686868687
9,0.0824263517871855,0.8888888888888888
10,0.08148063749582737,0.8888888888888888
11,0.080294495490643,0.8888888888888888
12,0.07899562115717035,0.8865979381443299
13,0.0775075661056884,0.8865979381443299
14,0.0757501880514066,0.8936170212765957
15,0.07469654234455712,0.8865979381443299
16,0.07495231406766803,0.8817204301075269
17,0.07681136115035754,0.8979591836734694
18,0.07863382231076296,0.8666666666666667
19,0.07736398902863806,0.9
20,0.07095015612912098,0.8913043478260869
21,0.06780511016015373,0.9090909090909091
22,0.060288019215109984,0.9130434782608695
23,0.058701739652603446,0.9183673469387755
24,0.04981169362223241,0.9361702127659575
25,0.04630542135555489,0.9278350515463918
26,0.04138074786218497,0.9375
27,0.036381341304313565,0.9484536082474226
28,0.02847330322532585,0.9696969696969697
29,0.016419540401357794,0.9900990099009901
30,0.00939656338277515,1.0
31,0.0054399313228673295,1.0
32,0.003553652351454452,1.0
33,0.0022358381973935164,1.0
34,0.001657929869555235,1.0
35,0.001300096223582049,1.0
36,0.0011143702238294577,1.0
37,0.0008989762396874726,1.0
38,0.000688372050782012,1.0
39,0.0005079704136280995,1.0
40,0.00036458583661877454,1.0
41,0.00025894414441231077,1.0
42,0.0001853460072352778,1.0
43,0.00013561686432384172,1.0
44,0.00010230021176987103,1.0
45,7.978731740399831e-05,1.0
46,6.424610043747647e-05,1.0
47,5.318262029020823e-05,1.0
48,4.5015328879115126e-05,1.0
49,3.875707829886754e-05,1.0
50,3.379698217650575e-05,1.0
51,2.9755727349770056e-05,1.0
52,2.63926655564976e-05,1.0
53,2.354895140049462e-05,1.0
54,2.1114652141838965e-05,1.0
55,1.9010506786058627e-05,1.0
56,1.7177756791194716e-05,1.0
57,1.5572042151408133e-05,1.0
58,1.4159311661871325e-05,1.0
59,1.2912868225309294e-05,1.0
60,1.1811209574298012e-05,1.0
61,1.0836500471490789e-05,1.0
62,9.973543145145073e-06,1.0
63,9.209115190429794e-06,1.0
64,8.53155702717421e-06,1.0
65,7.930515425679697e-06,1.0
66,7.3967770842102585e-06,1.0
67,6.922150163048774e-06,1.0
68,6.499369449314732e-06,1.0
69,6.122012572639605e-06,1.0
70,5.784421705188269e-06,1.0
71,5.481628934224248e-06,1.0
72,5.209285223584506e-06,1.0
73,4.963593469099105e-06,1.0
74,4.741246179203259e-06,1.0
75,4.539368118123446e-06,1.0
76,4.3554640167856146e-06,1.0
77,4.187371266478715e-06,1.0
78,4.03321738480375e-06,1.0
79,3.891381976178881e-06,1.0
80,3.76046288310804e-06,1.0
81,3.639246221924823e-06,1.0
82,3.526680004243898e-06,1.0
83,3.421851054629048e-06,1.0
84,3.323964942401341e-06,1.0
85,3.232328650672704e-06,1.0
86,3.1463357099365128e-06,1.0
87,3.0654535287234217e-06,1.0
88,2.9892126615100784e-06,1.0
89,2.917197765165035e-06,1.0
90,2.8490400099115946e-06,1.0
91,2.784410728668261e-06,1.0
92,2.723016108877898e-06,1.0
93,2.66459275257884e-06,1.0
94,2.6089039525125338e-06,1.0
95,2.5557365536470204e-06,1.0
96,2.504898289935268e-06,1.0
97,2.4562155049395796e-06,1.0
98,2.4095311818314246e-06,1.0
99,2.3647032230737024e-06,1.0
100,2.321602932779017e-06,1.0
101,2.2801136653745147e-06,1.0
102,2.240129612915914e-06,1.0
103,2.2015547103477604e-06,1.0
104,2.164301643398184e-06,1.0
105,2.1282909478356208e-06,1.0
106,2.0934501917137974e-06,1.0
107,2.0597132342043733e-06,1.0
108,2.0270195558595336e-06,1.0
109,1.9953136558457318e-06,1.0
110,1.9645445120028724e-06,1.0
111,1.9346650996507987e-06,1.0
112,1.9056319649925862e-06,1.0
113,1.877404848844554e-06,1.0
114,1.8499463563096082e-06,1.0
115,1.8232216679532542e-06,1.0
116,1.7971982880538578e-06,1.0
117,1.7718458255970915e-06,1.0
118,1.7471358038615985e-06,1.0
119,1.7230414946914042e-06,1.0
120,1.699537773855635e-06,1.0
121,1.676600994241697e-06,1.0
122,1.6542088739967715e-06,1.0
123,1.6323403971086922e-06,1.0
124,1.6109757242883249e-06,1.0
125,1.5900961123674413e-06,1.0
126,1.5696838407513102e-06,1.0
127,1.5497221437590564e-06,1.0
128,1.5301951479398344e-06,1.0
129,1.5110878136701e-06,1.0
130,1.4923858805180978e-06,1.0
131,1.4740758160025163e-06,1.0
132,1.4561447674842494e-06,1.0
133,1.4385805170090578e-06,1.0
134,1.4213714389739852e-06,1.0
135,1.4045064605241258e-06,1.0
136,1.3879750246042887e-06,1.0
137,1.3717670555927602e-06,1.0
138,1.3558729274423091e-06,1.0
139,1.3402834342414878e-06,1.0
140,1.3249897630980253e-06,1.0
141,1.30998346923164e-06,1.0
142,1.2952564531508015e-06,1.0
143,1.280800939778324e-06,1.0
144,1.266609459381732e-06,1.0
145,1.2526748301613247e-06,1.0
146,1.2389901423465387e-06,1.0
147,1.2255487436542337e-06,1.0
148,1.2123442259666787e-06,1.0
149,1.1993704130953497e-06,1.0
150,1.1866213495047508e-06,1.0
151,1.1740912898820395e-06,1.0
152,1.1617746894490698e-06,1.0
153,1.1496661949255317e-06,1.0
154,1.1377606360636197e-06,1.0
155,1.126053017685778e-06,1.0
156,1.114538512167983e-06,1.0
157,1.1032124523204598e-06,1.0
158,1.0920703246267466e-06,1.0
159,1.0811077628090678e-06,1.0
160,1.0703205416946983e-06,1.0
161,1.0597045713635107e-06,1.0
162,1.0492558915601948e-06,1.0
163,1.038970666359193e-06,1.0
164,1.0288451790714365e-06,1.0
165,1.0188758273846298e-06,1.0
166,1.0090591187294054e-06,1.0
167,9.99391665864028e-07,1.0
168,9.898701826713218e-07,1.0
169,9.804914801602269e-07,1.0
170,9.712524626651467e-07,1.0
171,9.62150124235257e-07,1.0
172,9.531815452062574e-07,1.0
173,9.443438889454901e-07,1.0
174,9.356343987624883e-07,1.0
175,9.27050394975877e-07,1.0
176,9.185892721276032e-07,1.0
177,9.102484963358856e-07,1.0
